"id","name","fullname","capital","area_km2","currency"
156,"Того","Тоголезская Республика","Ломе","56785.00","Франк КФА (XOF)"
157,"Тонга","Королевство Тонга","Нукуалофа","747.00","Паанга (TOP)"
158,"Тринидад и Тобаго","Республика Тринидад и Тобаго","Порт-оф-Спейн","5130.00","Доллар Тринидада и Тобаго (TTD)"
159,"Тувалу","Тувалу","Фунафути","26.00","Австралийский доллар (AUD)"
160,"Тунис","Тунисская Республика","Тунис","163610.00","Тунисский динар (TND)"
161,"Туркменистан","Туркменистан","Ашхабад","488100.00","Туркменский манат (TMT)"
162,"Турция","Турецкая Республика","Анкара","783562.00","Турецкая лира (TRY)"
163,"Уганда","Республика Уганда","Кампала","241038.00","Угандийский шиллинг (UGX)"
164,"Узбекистан","Республика Узбекистан","Ташкент","447400.00","Узбекский сум (UZS)"
165,"Украина","Украина","Киев","603628.00","Гривна (UAH)"
166,"Уругвай","Восточная Республика Уругвай","Монтевидео","176215.00","Уругвайское песо (UYU)"
167,"Фиджи","Республика Фиджи","Сува","18272.00","Фиджийский доллар (FJD)"
168,"Филиппины","Республика Филиппины","Манила","300000.00","Филиппинское песо (PHP)"
169,"Финляндия","Финляндская Республика","Хельсинки","338424.00","Евро (EUR)"
170,"Франция","Французская Республика","Париж","643801.00","Евро (EUR)"
171,"Хорватия","Республика Хорватия","Загреб","56594.00","Хорватская куна (HRK)"
172,"Центральноафриканская Республика","Центральноафриканская Республика","Банги","622984.00","Франк КФА (XAF)"
173,"Чад","Республика Чад","Нджамена","1284000.00","Франк КФА (XAF)"
174,"Черногория","Черногория","Подгорица","13812.00","Евро (EUR)"
175,"Чехия","Чешская Республика","Прага","78866.00","Чешская крона (CZK)"
176,"Чили","Республика Чили","Сантьяго","756102.00","Чилийское песо (CLP)"
177,"Швейцария","Швейцарская Конфедерация","Берн","41284.00","Швейцарский франк (CHF)"
178,"Швеция","Королевство Швеция","Стокгольм","450295.00","Шведская крона (SEK)"
179,"Шри-Ланка","Демократическая Социалистическая Республика Шри-Ланка","Шри-Джаяварденепура-Котте","65610.00","Шри-ланкийская рупия (LKR)"
180,"Эквадор","Республика Эквадор","Кито","256369.00","Доллар США (USD)"
181,"Экваториальная Гвинея","Республика Экваториальная Гвинея","Малабо","28051.00","Франк КФА (XAF)"
182,"Эритрея","Государство Эритрея","Асмэра","117600.00","Накфа (ERN)"
183,"Эсватини","Королевство Эсватини","Мбабане","17364.00","Лилангени (SZL)"
184,"Эстония","Эстонская Республика","Таллин","45227.00","Евро (EUR)"
185,"Эфиопия","Федеративная Демократическая Республика Эфиопия","Аддис-Абеба","1104300.00","Эфиопский быр (ETB)"
186,"ЮАР","Южно-Африканская Республика","Претория","1221037.00","Южноафриканский рэнд (ZAR)"
187,"Южный Судан","Республика Южный Судан","Джуба","619745.00","Южносуданский фунт (SSP)"
188,"Ямайка","Ямайка","Кингстон","10991.00","Ямайский доллар (JMD)"
189,"Япония","Япония","Токио","377975.00","Иена (JPY)"
